score,params,indices
0.008086607,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.008582319,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.083403539,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.083412732,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.333403539,"(264, 5, 61, 15, 5, 33, 17, 5, 42, 2563, 12, 62, 58)","(10, 4)"
0.083403662,"(776, 60, 83, 15, 2, 46, 3, 4, 97, 64, 55, 77, 62)","(1, 0)"
0.32707671,"(776, 60, 83, 15, 24, 17, 3, 2, 97, 64, 93, 77, 62)","(1, 1)"
0.333403536,"(264, 5, 61, 63, 5, 15, 17, 5, 42, 2563, 34, 67, 58)","(10, 1)"
0.083419209,"(48, 60, 84, 57, 19, 26, 8, 9, 97, 2874, 26, 68, 62)","(2, 4)"
0.083414545,"(48, 60, 84, 7, 19, 26, 8, 9, 97, 2874, 62, 68, 81)","(2, 5)"
0.008127036,"(48, 60, 84, 7, 19, 26, 8, 2, 97, 2874, 62, 68, 62)","(3, 0)"
0.010829548,"(48, 60, 84, 7, 19, 26, 8, 4, 7, 1954, 98, 68, 62)","(3, 1)"
0.083396779,"(48, 60, 84, 7, 17, 62, 8, 8, 7, 1954, 98, 68, 62)","(3, 2)"
0.083439203,"(48, 1, 84, 7, 17, 62, 8, 8, 7, 2874, 71, 68, 62)","(3, 3)"
0.083403537,"(48, 1, 84, 57, 17, 62, 8, 8, 97, 2874, 71, 68, 62)","(3, 4)"
0.083408675,"(48, 1, 84, 57, 17, 62, 8, 9, 97, 2874, 62, 68, 81)","(3, 5)"
0.008207913,"(48, 1, 84, 43, 19, 62, 8, 2, 97, 2874, 62, 68, 62)","(4, 0)"
0.01705321,"(48, 1, 84, 43, 19, 26, 8, 5, 97, 2874, 62, 68, 62)","(4, 1)"
0.0096499,"(48, 1, 84, 43, 17, 62, 8, 5, 97, 2874, 62, 68, 62)","(4, 2)"
0.083346824,"(48, 1, 84, 43, 17, 62, 8, 5, 7, 2874, 62, 68, 62)","(4, 3)"
0.083403551,"(267, 1, 84, 57, 17, 62, 8, 6, 97, 572, 62, 68, 62)","(4, 4)"
0.083403667,"(267, 1, 84, 57, 17, 62, 8, 6, 97, 572, 43, 68, 81)","(4, 5)"
0.08334986,"(267, 1, 84, 57, 17, 62, 15, 6, 97, 572, 62, 68, 81)","(5, 0)"
0.083396389,"(267, 1, 84, 57, 17, 62, 15, 6, 94, 572, 62, 68, 81)","(5, 1)"
0.083403779,"(267, 1, 84, 57, 17, 62, 15, 6, 94, 572, 62, 68, 81)","(5, 2)"
0.08340358,"(267, 1, 84, 57, 28, 62, 15, 6, 7, 572, 62, 68, 62)","(5, 3)"
0.083365216,"(267, 1, 84, 57, 28, 62, 15, 6, 7, 572, 62, 68, 62)","(5, 4)"
0.083403623,"(264, 1, 84, 57, 28, 62, 15, 6, 7, 2563, 62, 68, 62)","(5, 5)"
0.083404293,"(179, 19, 84, 57, 28, 62, 15, 6, 7, 3118, 63, 68, 62)","(6, 3)"
0.083239689,"(179, 10, 84, 57, 28, 62, 15, 6, 75, 2563, 62, 68, 62)","(6, 4)"
0.082395005,"(264, 10, 100, 57, 28, 62, 17, 6, 75, 2563, 62, 68, 71)","(7, 0)"
0.079971611,"(179, 10, 100, 57, 28, 62, 17, 6, 75, 2563, 62, 86, 71)","(7, 1)"
0.08340361,"(179, 19, 84, 57, 28, 62, 17, 6, 75, 3, 63, 86, 71)","(7, 2)"
0.083402046,"(179, 19, 84, 57, 28, 62, 17, 6, 75, 2563, 63, 86, 71)","(7, 3)"
0.083403542,"(179, 19, 42, 57, 2, 59, 17, 6, 75, 2563, 62, 68, 71)","(7, 4)"
0.083415361,"(179, 10, 84, 56, 2, 62, 17, 6, 75, 2563, 82, 68, 71)","(7, 5)"
0.083397095,"(264, 10, 84, 56, 11, 62, 17, 6, 6, 2563, 82, 68, 71)","(8, 0)"
0.083403539,"(264, 10, 121, 56, 4, 62, 17, 6, 48, 3, 82, 68, 71)","(8, 2)"
0.083403539,"(264, 10, 84, 57, 4, 62, 17, 6, 48, 3, 82, 68, 71)","(8, 3)"
0.082559668,"(264, 5, 97, 49, 5, 59, 17, 6, 6, 2563, 82, 68, 71)","(8, 4)"
0.08308492,"(264, 5, 61, 56, 5, 59, 17, 5, 75, 2563, 82, 68, 71)","(8, 5)"
0.083333801,"(264, 5, 61, 56, 5, 59, 17, 5, 75, 1357, 82, 68, 71)","(9, 0)"
0.082245402,"(264, 5, 111, 56, 5, 59, 17, 5, 42, 1357, 82, 68, 58)","(9, 1)"
0.333396855,"(539, 5, 111, 46, 5, 62, 17, 5, 42, 1357, 82, 68, 58)","(9, 3)"
0.008486353,"(264, 5, 111, 46, 5, 62, 17, 2, 42, 2563, 82, 62, 58)","(9, 4)"
0.0101229,"(264, 5, 111, 63, 5, 62, 17, 5, 42, 2563, 64, 67, 58)","(9, 5)"
0.013799684,"(264, 5, 61, 15, 5, 33, 8, 5, 7, 2563, 64, 67, 58)","(10, 5)"
