score,params,indices
0.0727754498705687,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.06953755278721489,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08341872611224814,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08344087555273282,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33341863189676246,"(912, 63, 35, 34, 24, 43, 28, 1, 69, 1528, 30, 75, 68)","(9, 3)"
0.3334186288791891,"(778, 63, 35, 39, 24, 26, 28, 1, 69, 1528, 30, 75, 68)","(10, 3)"
0.07910281478253472,"(267, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(1, 1)"
0.08341900510499087,"(267, 41, 36, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(1, 2)"
0.0834153453602701,"(93, 7, 99, 39, 26, 51, 18, 9, 38, 1173, 22, 74, 63)","(1, 3)"
0.08331492562966464,"(33, 60, 36, 39, 10, 46, 6, 4, 28, 3277, 55, 77, 83)","(1, 5)"
0.09014248140632648,"(33, 2, 41, 15, 7, 43, 3, 1, 50, 3277, 30, 60, 60)","(2, 0)"
0.0820559972730439,"(267, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(2, 1)"
0.07059265994764578,"(211, 41, 36, 14, 19, 51, 2, 1, 69, 153, 22, 88, 87)","(2, 2)"
0.06025400044839553,"(33, 60, 36, 39, 10, 43, 6, 1, 28, 3255, 65, 77, 58)","(2, 5)"
0.09071468607096188,"(33, 25, 41, 58, 10, 43, 3, 1, 28, 3277, 30, 60, 60)","(3, 0)"
0.06273652817815771,"(267, 29, 35, 58, 24, 43, 28, 1, 42, 153, 22, 70, 59)","(3, 1)"
0.07086934380166594,"(33, 36, 35, 39, 19, 43, 6, 1, 69, 153, 22, 88, 87)","(3, 2)"
