score,params,indices
0.012791132549343467,"(0.001, 64, 32, 3, 1, 0.5, 0.3, 0.6, 0.6)","(0, 0)"
0.22092924809374778,"(0.06397873716594259, 37, 18, 7, 7, 0.7022625438063911, 0.8940398152573124, 0.5426000279884139, 0.7067416916457825)","(0, 1)"
0.04090301685390018,"(0.0030767422218632274, 80, 32, 1, 2, 0.6783971496237756, 0.5849979177368628, 0.6080159047999414, 0.7887401850991953)","(0, 2)"
0.23959271295541,"(0.08096210262211488, 33, 51, 22, 4, 0.23837675483248558, 0.9519196342640353, 0.6649313271051871, 0.5454454632562725)","(0, 3)"
0.12504955068940207,"(0.009761966045663055, 221, 39, 26, 7, 0.5772430013946837, 0.9660730299416398, 0.6854818448320932, 0.7704999093238812)","(0, 4)"
0.2568458182673876,"(0.08295752595887419, 170, 55, 18, 7, 0.14078370145353938, 0.3028294653298767, 0.6418001021650325, 0.5390980686925775)","(0, 5)"
0.19885689115443198,"(0.08295752595887419, 170, 32, 3, 7, 0.5, 0.18989127217465893, 0.8114853776895561, 0.5390980686925775)","(1, 0)"
0.42186522950120525,"(0.03708107861497658, 37, 14, 3, 3, 0.7022625438063911, 0.6767514928694682, 0.5838579376170675, 0.5800672219433449)","(1, 1)"
0.1498581797391379,"(0.09895338272859587, 170, 14, 3, 2, 0.5956852719594352, 0.18989127217465893, 0.6080159047999414, 0.7887401850991953)","(1, 2)"
0.05345436480580544,"(0.08430090682696198, 205, 15, 1, 3, 0.2877747307918306, 0.18989127217465893, 0.9294201369716077, 0.8211649459944912)","(1, 3)"
0.18630811243641132,"(0.08430090682696198, 221, 25, 29, 3, 0.3357433481832667, 0.18989127217465893, 0.8114853776895561, 0.5390980686925775)","(1, 4)"
0.25237542082663295,"(0.05618067660289877, 90, 25, 29, 7, 0.3357433481832667, 0.8990623664062045, 0.6074671719870688, 0.5390980686925775)","(1, 5)"
0.17603482192470915,"(0.05100167673827881, 170, 32, 3, 1, 0.6584269771157502, 0.8990623664062045, 0.7068583837318452, 0.686993450388203)","(2, 0)"
0.16710240601682338,"(0.05100167673827881, 37, 63, 3, 3, 0.6584269771157502, 0.6767514928694682, 0.9758284050306729, 0.5056257007519817)","(2, 1)"
