score,params,indices,,,,,
0.007278578,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)",,,,,
,,,,,0.083403762,"(639, 2, 35, 15, 23, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
,,,,,0.08345432,"(93, 7, 108, 39, 26, 46, 17, 9, 38, 2826, 82, 74, 84)","(0, 3)"
,,,,,0.33303203,"(100, 32, 83, 49, 32, 32, 3, 1, 50, 3277, 30, 60, 59)","(1, 0)"
0.031249598,"(100, 2, 83, 49, 32, 32, 3, 1, 50, 3277, 30, 60, 59)","(1, 1)",,,,,
0.013552604,"(100, 32, 83, 14, 32, 32, 3, 1, 50, 3277, 30, 60, 59)","(1, 2)",,,,,
0.046846547,"(100, 32, 108, 49, 32, 32, 3, 1, 50, 3277, 30, 60, 59)","(1, 3)",,,,,
0.020390955,"(100, 20, 83, 49, 9, 32, 3, 4, 50, 3277, 30, 60, 59)","(1, 5)",,,,,
0.01577986,"(100, 20, 83, 49, 32, 14, 3, 1, 50, 3277, 30, 60, 59)","(2, 0)",,,,,
0.01613736,"(100, 20, 83, 49, 32, 32, 3, 1, 93, 3277, 30, 60, 59)","(2, 1)",,,,,
0.010615457,"(100, 20, 117, 49, 15, 14, 3, 1, 50, 3277, 30, 60, 59)","(2, 4)",,,,,
0.013680042,"(100, 20, 83, 49, 32, 14, 3, 1, 50, 3277, 30, 60, 60)","(2, 5)",,,,,
0.018448398,"(100, 20, 83, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 59)","(3, 0)",,,,,
,,,,,0.333403476,"(100, 20, 83, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 59)","(3, 2)"
0.015634206,"(100, 20, 83, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 59)","(3, 5)",,,,,
0.013450773,"(100, 20, 83, 16, 32, 36, 3, 1, 40, 3277, 30, 60, 59)","(4, 1)",,,,,
0.012611985,"(100, 20, 83, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 59)","(4, 2)",,,,,
0.015965006,"(100, 20, 83, 16, 32, 37, 3, 1, 50, 3277, 30, 60, 59)","(4, 3)",,,,,
0.014125102,"(100, 20, 83, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 59)","(4, 4)",,,,,
0.008843994,"(100, 20, 28, 16, 32, 36, 3, 1, 50, 3277, 30, 60, 89)","(4, 5)",,,,,
0.005387372,"(100, 20, 65, 16, 32, 36, 3, 1, 50, 466, 30, 51, 59)","(5, 0)",,,,,
0.0076104,"(100, 20, 14, 16, 32, 36, 3, 1, 50, 3212, 30, 51, 59)","(5, 1)",,,,,
0.013284152,"(100, 20, 14, 16, 32, 36, 25, 1, 50, 466, 30, 51, 59)","(5, 2)",,,,,
0.014946439,"(100, 20, 83, 16, 32, 5, 3, 1, 50, 466, 30, 51, 59)","(5, 4)",,,,,
0.007965972,"(100, 20, 65, 16, 12, 36, 3, 1, 50, 5100, 30, 51, 59)","(5, 5)",,,,,
0.005457365,"(100, 20, 65, 16, 32, 36, 3, 1, 50, 2709, 30, 51, 88)","(6, 0)",,,,,
0.006195179,"(100, 20, 65, 16, 32, 36, 3, 1, 85, 2709, 30, 51, 50)","(6, 1)",,,,,
0.00874493,"(100, 20, 14, 16, 23, 36, 22, 1, 50, 2709, 30, 51, 50)","(6, 2)",,,,,
0.005676288,"(100, 20, 65, 16, 32, 34, 3, 1, 42, 3277, 30, 51, 88)","(6, 3)",,,,,
0.00590149,"(100, 20, 65, 16, 32, 36, 3, 1, 63, 2709, 30, 54, 88)","(6, 5)",,,,,
0.006457886,"(100, 20, 65, 16, 32, 36, 3, 4, 50, 2709, 30, 51, 88)","(7, 0)",,,,,
0.007922509,"(100, 20, 65, 29, 32, 36, 3, 4, 50, 2709, 30, 51, 88)","(7, 1)",,,,,
0.006073035,"(100, 20, 65, 16, 32, 34, 3, 4, 50, 2709, 30, 51, 88)","(7, 3)",,,,,
0.008631944,"(100, 20, 34, 16, 16, 36, 3, 2, 50, 2709, 90, 51, 84)","(7, 4)",,,,,
0.005392587,"(100, 20, 65, 16, 32, 36, 3, 4, 50, 1528, 30, 54, 88)","(7, 5)",,,,,
0.005282468,"(100, 20, 65, 16, 20, 36, 3, 4, 50, 2709, 30, 51, 88)","(8, 0)",,,,,
0.005800337,"(100, 34, 65, 16, 20, 36, 3, 4, 50, 2709, 1, 51, 62)","(8, 3)",,,,,
0.008160861,"(100, 2, 65, 59, 20, 36, 3, 4, 50, 2709, 30, 51, 88)","(8, 4)",,,,,
0.005698242,"(86, 20, 65, 16, 20, 36, 3, 4, 50, 2709, 30, 69, 52)","(9, 4)",,,,,
,,,,,0.333403539,"(308, 48, 65, 16, 20, 36, 3, 4, 76, 2709, 30, 69, 88)","(9, 5)"
0.005502454,"(129, 20, 65, 16, 20, 36, 3, 4, 50, 2709, 30, 54, 69)","(10, 0)",,,,,
0.006625406,"(129, 20, 65, 16, 20, 36, 3, 4, 50, 2709, 30, 54, 69)","(10, 1)",,,,,
0.01052251,"(129, 20, 70, 16, 20, 36, 3, 4, 87, 2709, 30, 54, 69)","(10, 2)",,,,,
,,,,,0.333403536,"(129, 20, 65, 16, 20, 36, 3, 4, 50, 2709, 30, 54, 69)","(10, 3)"
0.03965028,"(129, 17, 111, 16, 20, 36, 3, 4, 50, 2709, 30, 54, 69)","(10, 4)",,,,,
0.006598869,"(129, 48, 65, 27, 20, 14, 3, 4, 50, 2709, 30, 54, 69)","(10, 5)",,,,,
,,,,,,,
Total Num,40,,,,,,
Avg MSE,0.012102486,,,,,,
SSO Train Time,21824.44766,,,,,,
