score,params,indices,,,
0.006893991,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)",,,
,,,0.333403514,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
,,,0.083415892,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.010319917,"(100, 32, 64, 16, 32, 32, 25, 1, 50, 3277, 30, 60, 60)","(1, 0)",,,
0.01079057,"(199, 15, 64, 14, 19, 32, 2, 8, 69, 1742, 22, 88, 63)","(1, 2)",,,
0.0090964,"(93, 7, 6, 39, 26, 46, 2, 9, 38, 2826, 82, 74, 84)","(1, 3)",,,
,,,0.333403538,"(100, 45, 7, 16, 10, 6, 11, 1, 50, 3255, 36, 60, 58)","(1, 4)"
0.012244817,"(199, 15, 64, 25, 19, 43, 2, 8, 69, 1742, 22, 88, 63)","(2, 2)",,,
0.011399031,"(93, 7, 6, 58, 32, 46, 2, 9, 38, 2349, 82, 74, 60)","(2, 3)",,,
0.00803751,"(100, 7, 35, 16, 10, 16, 11, 1, 50, 3255, 82, 60, 60)","(2, 4)",,,
,,,0.063448147,"(211, 60, 64, 16, 32, 32, 25, 4, 50, 3277, 93, 60, 60)","(3, 0)"
,,,0.083235131,"(93, 7, 6, 58, 32, 46, 9, 9, 58, 2349, 82, 74, 60)","(3, 3)"
0.008569353,"(100, 7, 35, 16, 10, 57, 11, 1, 50, 3277, 82, 60, 60)","(3, 4)",,,
,,,0.043253709,"(211, 60, 83, 16, 10, 57, 25, 4, 97, 3277, 55, 60, 83)","(3, 5)"
0.138515749,"(211, 60, 64, 16, 32, 32, 25, 4, 22, 3277, 93, 60, 60)","(4, 0)",,,
,,,0.082546308,"(93, 7, 64, 58, 32, 46, 9, 9, 58, 3277, 93, 74, 60)","(4, 3)"
0.006570035,"(100, 7, 64, 16, 10, 57, 11, 1, 50, 3277, 82, 74, 52)","(4, 4)",,,
,,,0.298755914,"(211, 25, 64, 16, 10, 32, 25, 9, 52, 3277, 93, 74, 60)","(5, 0)"
0.01720028,"(199, 15, 7, 55, 18, 43, 5, 6, 9, 2162, 82, 60, 60)","(5, 2)",,,
0.009260258,"(100, 7, 3, 58, 23, 46, 11, 7, 58, 3277, 93, 71, 60)","(5, 3)",,,
0.006732619,"(100, 7, 64, 16, 10, 57, 10, 1, 50, 3277, 82, 75, 52)","(5, 4)",,,
0.007002277,"(211, 25, 64, 16, 10, 57, 5, 4, 52, 3277, 93, 67, 60)","(6, 0)",,,
0.00916286,"(100, 15, 7, 16, 10, 43, 5, 6, 9, 2162, 82, 75, 60)","(6, 2)",,,
0.004461664,"(100, 7, 64, 16, 10, 57, 10, 1, 50, 3277, 82, 75, 52)","(6, 4)",,,
0.008828612,"(100, 60, 7, 16, 10, 43, 5, 6, 9, 2162, 82, 75, 60)","(7, 2)",,,
0.006161439,"(100, 7, 3, 16, 10, 57, 10, 1, 50, 3277, 82, 75, 57)","(7, 4)",,,
0.010492494,"(100, 60, 7, 16, 10, 43, 5, 6, 9, 783, 82, 75, 80)","(8, 2)",,,
0.006968838,"(100, 7, 3, 16, 10, 57, 10, 1, 50, 3277, 82, 75, 57)","(8, 4)",,,
0.01080169,"(100, 21, 7, 16, 10, 57, 31, 6, 9, 783, 82, 75, 80)","(9, 2)",,,
0.00860533,"(100, 21, 7, 2, 23, 46, 10, 1, 92, 2162, 93, 85, 80)","(9, 3)",,,
0.006236118,"(100, 7, 3, 16, 10, 57, 10, 1, 92, 3277, 82, 75, 57)","(9, 4)",,,
,,,0.333403536,"(211, 56, 64, 50, 2, 34, 31, 1, 92, 3271, 82, 74, 60)","(10, 1)"
,,,0.055356898,"(100, 21, 106, 16, 10, 57, 10, 6, 9, 3277, 82, 75, 80)","(10, 2)"
0.009468418,"(100, 21, 7, 2, 23, 20, 10, 1, 6, 2162, 93, 85, 80)","(10, 3)",,,
0.006866124,"(100, 7, 7, 16, 10, 57, 10, 1, 92, 3277, 93, 75, 57)","(10, 4)",,,
,,,0.333403539,"(878, 17, 83, 16, 10, 57, 10, 1, 92, 3277, 82, 75, 57)","(10, 5)"
,,,,,
total num,25,,,,
avg MSE,0.014027456,,,,
min MSE,0.004461664,,,,
