score,params,indices
0.006817275941371917,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.3334035393080037,"(489, 48, 89, 41, 12, 31, 5, 1, 76, 4060, 10, 58, 77)","(10, 5)"
0.0721299726985591,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08336116334423423,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.33340353585926114,"(436, 47, 123, 18, 26, 34, 16, 4, 88, 2193, 37, 79, 60)","(10, 2)"
0.08340403431815732,"(776, 32, 83, 15, 32, 3, 6, 3, 27, 64, 21, 60, 87)","(1, 0)"
0.08340375911914989,"(609, 32, 21, 49, 32, 34, 25, 3, 52, 3, 32, 50, 87)","(2, 0)"
0.08340356246470229,"(265, 55, 106, 3, 32, 27, 8, 5, 72, 3, 54, 58, 62)","(2, 3)"
0.08310927449402056,"(120, 56, 114, 16, 19, 40, 14, 6, 8, 2677, 59, 79, 87)","(4, 1)"
0.08329147681304695,"(455, 4, 35, 15, 16, 54, 6, 9, 83, 473, 42, 61, 50)","(5, 0)"
0.08327443298158285,"(120, 4, 99, 41, 16, 54, 9, 7, 55, 2190, 42, 61, 50)","(5, 1)"
0.08340397717612551,"(155, 59, 110, 62, 26, 56, 2, 8, 73, 1701, 92, 82, 50)","(5, 4)"
0.0822075321108691,"(455, 4, 30, 26, 31, 34, 30, 8, 12, 473, 28, 75, 88)","(6, 1)"
0.33340329342521124,"(179, 5, 123, 26, 9, 34, 30, 1, 43, 2982, 72, 55, 62)","(6, 2)"
0.33303068190426766,"(301, 4, 40, 26, 14, 19, 5, 8, 31, 2153, 93, 77, 86)","(6, 5)"
0.08340353791322559,"(473, 57, 102, 11, 10, 34, 4, 6, 51, 473, 63, 63, 82)","(7, 1)"
0.08340662691286324,"(179, 48, 86, 15, 10, 13, 19, 1, 24, 2433, 84, 52, 62)","(7, 2)"
0.33340350469350005,"(249, 4, 108, 29, 26, 43, 31, 8, 59, 4864, 94, 58, 50)","(7, 5)"
0.008157861060217807,"(29, 4, 44, 46, 22, 32, 26, 4, 17, 2393, 13, 74, 67)","(8, 5)"
0.01489516573438519,"(27, 25, 73, 2, 21, 9, 26, 5, 88, 2393, 47, 74, 52)","(9, 0)"
0.08335495352156852,"(27, 24, 98, 33, 21, 14, 11, 7, 88, 1941, 74, 83, 60)","(9, 1)"
0.00868024942278862,"(139, 6, 4, 34, 21, 9, 31, 4, 64, 4000, 64, 80, 87)","(9, 2)"
0.08334312899077409,"(200, 2, 21, 8, 22, 54, 18, 5, 88, 1116, 69, 80, 56)","(9, 3)"
0.015273761241059555,"(121, 62, 73, 2, 25, 9, 26, 4, 76, 2193, 37, 70, 52)","(10, 0)"
0.08340353823590435,"(212, 53, 102, 2, 12, 56, 23, 1, 28, 52, 93, 53, 78)","(10, 4)"
