score,params,indices
0.008442159039409538,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 64, 30, 60, 60)","(0, 0)"
0.009031280574045683,"(639, 2, 36, 15, 24, 43, 28, 1, 42, 153, 22, 70, 51)","(0, 1)"
0.08340361277553204,"(199, 41, 70, 14, 19, 51, 2, 8, 69, 1742, 16, 88, 63)","(0, 2)"
0.08344867527602534,"(93, 7, 108, 39, 26, 46, 18, 9, 38, 2826, 82, 74, 84)","(0, 3)"
0.3334035393080037,"(199, 60, 39, 15, 32, 43, 2, 1, 9, 4883, 63, 52, 83)","(8, 5)"
0.0110425926603769,"(267, 60, 83, 39, 7, 46, 6, 4, 97, 3277, 55, 77, 83)","(0, 5)"
0.009154036570536463,"(100, 32, 64, 16, 32, 32, 3, 1, 50, 3277, 30, 60, 60)","(1, 0)"
0.08340354118721657,"(199, 41, 70, 15, 19, 51, 3, 8, 69, 1742, 16, 88, 63)","(1, 2)"
0.08341245657154114,"(93, 49, 108, 39, 26, 46, 18, 9, 23, 3277, 82, 74, 84)","(1, 3)"
0.008440376283306825,"(100, 49, 6, 15, 10, 6, 8, 1, 28, 3255, 36, 64, 60)","(1, 4)"
0.33340353585926114,"(878, 41, 120, 15, 18, 58, 17, 7, 87, 783, 93, 71, 51)","(10, 2)"
0.0081254090415804,"(100, 32, 64, 20, 32, 32, 3, 1, 50, 3277, 30, 60, 60)","(2, 0)"
0.007870136941734112,"(100, 2, 64, 20, 32, 43, 8, 1, 42, 3277, 22, 60, 51)","(2, 1)"
0.009055336023631849,"(100, 49, 108, 39, 26, 46, 3, 1, 42, 3277, 86, 62, 84)","(2, 3)"
0.007390517713207948,"(100, 2, 84, 15, 26, 6, 8, 1, 42, 3255, 86, 60, 60)","(2, 4)"
0.08340040876280125,"(100, 2, 64, 20, 32, 32, 8, 9, 45, 3277, 30, 60, 60)","(3, 0)"
0.007536452876894097,"(100, 17, 64, 20, 32, 43, 8, 1, 42, 3277, 22, 60, 51)","(3, 1)"
0.006488215907623893,"(199, 41, 120, 15, 32, 51, 3, 1, 69, 3277, 16, 60, 51)","(3, 2)"
0.007682323780499006,"(100, 16, 120, 39, 32, 46, 3, 1, 42, 2874, 86, 62, 84)","(3, 3)"
0.010646840393543243,"(263, 2, 120, 15, 26, 6, 3, 1, 42, 2993, 86, 60, 60)","(3, 4)"
